Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
60000	-20.69	-20.57	207	0.194	0.0001
70000	-20.72	-20.57	243	0.193	0.0001
80000	-20.79	-20.57	279	0.192	0.0001
90000	-20.79	-20.57	315	0.191	0.0001
100000	-20.76	-20.57	350	0.19	0.0001
110000	-20.71	-20.57	386	0.189	0.0001
120000	-20.72	-20.57	424	0.188	0.0001
130000	-20.76	-20.57	460	0.187	0.0001
140000	-20.84	-20.57	496	0.186	0.0001
150000	-20.72	-20.57	531	0.185	0.0001
160000	-20.71	-20.57	565	0.184	0.0001
170000	-20.59	-20.57	598	0.183	0.0001
180000	-20.56	-20.56	631	0.18200000000000002	0.0001
190000	-20.33	-20.33	663	0.181	0.0001
200000	-20.08	-20.07	693	0.18	0.0001
210000	-19.95	-19.95	724	0.17900000000000002	0.0001
220000	-19.94	-19.94	756	0.17800000000000002	0.0001
230000	-19.94	-19.83	786	0.17700000000000002	0.0001
240000	-19.86	-19.82	815	0.17600000000000002	0.0001
250000	-19.57	-19.57	843	0.17500000000000002	0.0001
260000	-19.55	-19.48	871	0.17400000000000002	0.0001
270000	-19.37	-19.37	897	0.17300000000000001	0.0001
280000	-19.4	-19.36	926	0.17200000000000001	0.0001
290000	-19.32	-19.29	951	0.171	0.0001
300000	-19.16	-19.16	978	0.17	0.0001
310000	-19.11	-19.09	1002	0.169	0.0001
320000	-19.02	-19.01	1027	0.168	0.0001
330000	-19.01	-18.95	1051	0.167	0.0001
340000	-18.81	-18.78	1074	0.166	0.0001
350000	-18.65	-18.65	1098	0.165	0.0001
360000	-18.56	-18.54	1122	0.164	0.0001
370000	-18.55	-18.49	1146	0.163	0.0001
380000	-18.58	-18.42	1168	0.162	0.0001
390000	-18.46	-18.42	1190	0.161	0.0001
400000	-18.54	-18.42	1211	0.16	0.0001
410000	-18.4	-18.4	1234	0.159	0.0001
420000	-18.17	-18.17	1255	0.158	0.0001
430000	-18.18	-18.15	1275	0.157	0.0001
440000	-18.16	-18.06	1296	0.156	0.0001
450000	-17.92	-17.88	1316	0.155	0.0001
460000	-17.74	-17.74	1336	0.154	0.0001
470000	-17.64	-17.61	1356	0.15300000000000002	0.0001
480000	-17.57	-17.57	1378	0.15200000000000002	0.0001
490000	-17.53	-17.49	1398	0.15100000000000002	0.0001
500000	-17.6	-17.45	1419	0.15000000000000002	0.0001
510000	-17.64	-17.45	1440	0.14900000000000002	0.0001
520000	-17.79	-17.45	1460	0.14800000000000002	0.0001
530000	-17.57	-17.45	1479	0.14700000000000002	0.0001
540000	-17.64	-17.45	1500	0.14600000000000002	0.0001
550000	-17.39	-17.39	1518	0.14500000000000002	0.0001
560000	-17.32	-17.32	1536	0.14400000000000002	0.0001
570000	-17.18	-17.13	1555	0.14300000000000002	0.0001
580000	-17.29	-17.08	1574	0.14200000000000002	0.0001
590000	-17.08	-17.08	1591	0.14100000000000001	0.0001
600000	-17.08	-16.99	1610	0.14	0.0001
610000	-17.1	-16.99	1628	0.139	0.0001
620000	-17.01	-16.94	1647	0.138	0.0001
630000	-17.1	-16.94	1667	0.137	0.0001
640000	-17.0	-16.94	1687	0.136	0.0001
650000	-17.12	-16.94	1706	0.135	0.0001
660000	-17.07	-16.94	1724	0.134	0.0001
670000	-17.1	-16.94	1744	0.133	0.0001
680000	-17.02	-16.94	1763	0.132	0.0001
690000	-17.16	-16.94	1783	0.131	0.0001
700000	-17.2	-16.94	1802	0.13	0.0001
710000	-17.47	-16.94	1823	0.129	0.0001
720000	-17.56	-16.94	1842	0.128	0.0001
730000	-17.6	-16.94	1862	0.127	0.0001
740000	-17.5	-16.94	1881	0.126	0.0001
750000	-17.45	-16.94	1900	0.125	0.0001
760000	-17.2	-16.94	1919	0.124	0.0001
770000	-17.12	-16.94	1938	0.123	0.0001
780000	-17.2	-16.94	1957	0.122	0.0001
790000	-17.26	-16.94	1976	0.121	0.0001
800000	-17.21	-16.94	1993	0.12	0.0001
810000	-17.17	-16.94	2011	0.119	0.0001
820000	-17.1	-16.94	2028	0.11800000000000001	0.0001
830000	-16.99	-16.94	2045	0.117	0.0001
840000	-16.7	-16.7	2062	0.116	0.0001
850000	-16.52	-16.52	2078	0.115	0.0001
860000	-16.59	-16.49	2095	0.114	0.0001
870000	-16.69	-16.49	2113	0.113	0.0001
880000	-16.69	-16.49	2130	0.112	0.0001
890000	-16.79	-16.49	2146	0.111	0.0001
900000	-16.9	-16.49	2163	0.11	0.0001
910000	-17.09	-16.49	2181	0.109	0.0001
920000	-17.05	-16.49	2198	0.108	0.0001
930000	-16.97	-16.49	2214	0.107	0.0001
940000	-17.13	-16.49	2232	0.10600000000000001	0.0001
950000	-17.19	-16.49	2249	0.10500000000000001	0.0001
960000	-17.01	-16.49	2265	0.10400000000000001	0.0001
970000	-16.83	-16.49	2280	0.10300000000000001	0.0001
980000	-16.9	-16.49	2298	0.10200000000000001	0.0001
990000	-16.79	-16.49	2314	0.101	0.0001
1000000	-16.73	-16.49	2330	0.1	0.0001
1010000	-16.69	-16.49	2348	0.099775	9.9875e-05
1020000	-16.92	-16.49	2364	0.09955	9.975e-05
1030000	-16.98	-16.49	2381	0.09932500000000001	9.962500000000001e-05
1040000	-16.96	-16.49	2396	0.09910000000000001	9.95e-05
1050000	-17.1	-16.49	2413	0.098875	9.9375e-05
1060000	-16.74	-16.49	2427	0.09865	9.925e-05
1070000	-16.63	-16.49	2443	0.098425	9.912500000000001e-05
1080000	-16.41	-16.41	2459	0.09820000000000001	9.900000000000001e-05
1090000	-16.38	-16.38	2476	0.097975	9.8875e-05
1100000	-16.22	-16.22	2492	0.09775	9.875e-05
1110000	-16.03	-16.03	2508	0.097525	9.8625e-05
1120000	-16.27	-16.03	2523	0.09730000000000001	9.850000000000001e-05
1130000	-16.41	-16.03	2541	0.09707500000000001	9.8375e-05
1140000	-16.44	-16.03	2557	0.09685	9.825e-05
1150000	-16.46	-16.03	2575	0.096625	9.8125e-05
1160000	-16.68	-16.03	2592	0.0964	9.800000000000001e-05
1170000	-16.67	-16.03	2608	0.09617500000000001	9.787500000000001e-05
