Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	4949.79745285	453.149442091	4282.24348841	5735.42121368	-298.382698523	42.1700957452	-361.180878133	-242.391480029
1	5050.84893516	416.530164393	4532.90956364	6141.09304317	-330.565307336	56.486442547	-415.539781266	-246.507590857
2	4720.02877593	291.187503589	4100.24270572	5162.98814851	-304.287676323	32.2860273802	-386.544293617	-264.726499382
3	5034.82373518	609.365940603	3970.99737528	5826.00594316	-317.494030264	30.4199472001	-365.815166656	-267.338896537
4	4689.05148158	728.115810166	3832.29040058	6013.80284274	-327.543069799	37.2575805598	-404.067005742	-256.297654531
5	4831.99571644	619.345407852	3972.45077954	5955.09964603	-289.566155941	48.7936840782	-404.687035509	-228.079151228
6	5077.58641913	698.442977551	4153.20282174	6267.99347905	-302.725763508	49.223106154	-380.752748132	-224.809517519
7	4978.07708721	534.183447632	4402.42415024	6138.98491456	-292.007686768	56.9235769007	-392.666633624	-171.6443602
8	4838.49610145	700.464466825	3928.06734868	6192.64803688	-276.025055481	42.8181533794	-343.188931076	-208.650096202
9	4970.52271587	435.772408928	3904.25988857	5521.5594261	-293.446026856	34.4784023021	-376.085533893	-246.487169567
10	4849.95127063	622.354268978	3580.11480253	5732.10442759	-330.634072683	48.6780231753	-409.908273143	-262.044010366
11	5016.56026179	527.089903537	4120.94143981	6174.41402623	-326.16189379	50.812950359	-415.432326094	-260.38651901
12	5059.26805686	528.251075229	4082.32523399	5837.04557822	-300.184704371	53.2948616978	-389.544028777	-190.448380527
13	4966.92083039	751.814179874	3357.70264399	6045.51872278	-269.849164451	24.1524963698	-304.742422678	-218.401559671
14	5287.27749713	650.222696746	4235.02082359	6410.28150186	-291.539466822	36.5069700378	-363.549645146	-256.879452328
